,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
381,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,93.2
395,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,30
408,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,26.2
422,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,30.8
15,EAST,AGRICULTURAL DISTRICT,1990,BARLEY ,"YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,BARLEY,66.1
30,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,BARLEY,83
45,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,BARLEY,37.6
60,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,BARLEY,36.9
75,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,BARLEY,39.6
192,EAST,AGRICULTURAL DISTRICT,1990,OATS ,"YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,OATS,37.2
224,EAST,AGRICULTURAL DISTRICT,1990,WHEAT ,"YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,WHEAT,59.5
239,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,WHEAT,83.9
254,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,WHEAT,25.3
269,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,WHEAT,21.3
284,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / NET PLANTED ACRE",ALL CLASSES,TOTAL,BU / NET PLANTED ACRE,WHEAT,26.5
300,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM) ","YIELD, MEASURED IN BU / NET PLANTED ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / NET PLANTED ACRE,WHEAT,63.1
315,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / NET PLANTED ACRE,WHEAT,78.1
330,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / NET PLANTED ACRE,WHEAT,17.4
345,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / NET PLANTED ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / NET PLANTED ACRE,WHEAT,17.3
357,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / NET PLANTED ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / NET PLANTED ACRE,WHEAT,17.5
373,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER ","YIELD, MEASURED IN BU / NET PLANTED ACRE",WINTER,TOTAL,BU / NET PLANTED ACRE,WHEAT,56.4
385,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE",WINTER,TOTAL,BU / NET PLANTED ACRE,WHEAT,92.4
400,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED ","YIELD, MEASURED IN BU / NET PLANTED ACRE",WINTER,TOTAL,BU / NET PLANTED ACRE,WHEAT,28.3
412,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / NET PLANTED ACRE",WINTER,TOTAL,BU / NET PLANTED ACRE,WHEAT,24.7
427,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / NET PLANTED ACRE",WINTER,TOTAL,BU / NET PLANTED ACRE,WHEAT,29
